month,year,plot,survey_date,fungicide,plant,leaf,damage,anthracnose,crown_rust,brown_patch,smut,gls,rrust,sclerotinia,tml,mining,mech,chlo,scrape
May,2017,plotID_4,5/24/2017,Year-round,10,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_4,5/24/2017,Year-round,11,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_4,5/24/2017,Year-round,11,2,ND,0,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_4,5/24/2017,Year-round,12,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_4,5/24/2017,Year-round,12,2,ND,0,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_4,5/24/2017,Year-round,13,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_4,5/24/2017,Year-round,14,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_4,5/24/2017,Year-round,14,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_4,5/24/2017,Year-round,15,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_4,5/24/2017,Year-round,15,2,ND,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_4,5/24/2017,Year-round,16,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_4,5/24/2017,Year-round,16,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_4,5/24/2017,Year-round,17,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_4,5/24/2017,Year-round,17,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_4,5/24/2017,Year-round,17,3,ND,0,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_4,5/24/2017,Year-round,18,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_4,5/24/2017,Year-round,18,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_4,5/24/2017,Year-round,18,3,ND,0,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_4,5/24/2017,Year-round,19,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_4,5/24/2017,Year-round,19,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_4,5/24/2017,Year-round,20,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_4,5/24/2017,Year-round,20,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_5,5/24/2017,9-months,1,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_5,5/24/2017,9-months,1,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_5,5/24/2017,9-months,2,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_5,5/24/2017,9-months,2,2,ND,0,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_5,5/24/2017,9-months,3,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_5,5/24/2017,9-months,3,2,ND,0,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_5,5/24/2017,9-months,4,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_5,5/24/2017,9-months,4,2,ND,0,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_5,5/24/2017,9-months,5,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_5,5/24/2017,9-months,5,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_5,5/24/2017,9-months,6,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_5,5/24/2017,9-months,6,2,ND,0,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_5,5/24/2017,9-months,7,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_5,5/24/2017,9-months,7,2,ND,0,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_5,5/24/2017,9-months,8,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_5,5/24/2017,9-months,8,2,ND,0,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_5,5/24/2017,9-months,9,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_5,5/24/2017,9-months,9,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_5,5/24/2017,9-months,10,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_5,5/24/2017,9-months,10,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_5,5/24/2017,9-months,11,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_5,5/24/2017,9-months,11,2,ND,0,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_5,5/24/2017,9-months,12,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_5,5/24/2017,9-months,12,2,ND,0,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_5,5/24/2017,9-months,13,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_5,5/24/2017,9-months,13,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_5,5/24/2017,9-months,14,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_5,5/24/2017,9-months,14,2,ND,0,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_5,5/24/2017,9-months,15,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_5,5/24/2017,9-months,15,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_5,5/24/2017,9-months,16,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_5,5/24/2017,9-months,16,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_5,5/24/2017,9-months,16,3,ND,0,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_5,5/24/2017,9-months,17,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_5,5/24/2017,9-months,17,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_5,5/24/2017,9-months,18,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_5,5/24/2017,9-months,18,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_5,5/24/2017,9-months,19,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_5,5/24/2017,9-months,19,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_5,5/24/2017,9-months,19,3,ND,0,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_5,5/24/2017,9-months,20,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_5,5/24/2017,9-months,20,2,ND,0,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_6,5/24/2017,7-months,1,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_6,5/24/2017,7-months,1,2,ND,0,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_6,5/24/2017,7-months,2,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_6,5/24/2017,7-months,3,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_6,5/24/2017,7-months,3,2,ND,0,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_6,5/24/2017,7-months,4,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_6,5/24/2017,7-months,4,2,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_6,5/24/2017,7-months,4,3,ND,0,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_6,5/24/2017,7-months,5,1,D,1,0,0,0,0,0,0,0,0,0,0,0
May,2017,plotID_6,5/24/2017,7-months,5,2,D,1,0,0,0,0,0,0,0,0,0,0,0
